"","grid","gridpoint","sol","new.td","density_spruce","group1","Density"
"452","WC","WC8",5,88.5,0.094546178,"(0.0249,0.229]","high"
"453","WC","WC8",4,77,0.094546178,"(0.0249,0.229]","high"
"454","WC","WC8",2.5,65,0.094546178,"(0.0249,0.229]","high"
"455","WC","WC8",8,106,0.094546178,"(0.0249,0.229]","high"
"456","WC","WC8",9,103,0.094546178,"(0.0249,0.229]","high"
"457","WC","WC8",17,61,0.094546178,"(0.0249,0.229]","high"
"458","WC","WC8",19.5,81,0.094546178,"(0.0249,0.229]","high"
"459","WC","WC9",5.6,84.5,0.069665605,"(0.0249,0.229]","high"
"460","WC","WC9",4.9,89,0.069665605,"(0.0249,0.229]","high"
"461","WC","WC9",13,79.9,0.069665605,"(0.0249,0.229]","high"
"462","WC","WC9",5.2,98.3,0.069665605,"(0.0249,0.229]","high"
"463","WC","WC9",6.3,77.6,0.069665605,"(0.0249,0.229]","high"
"464","WC","WC9",10.5,84.8,0.069665605,"(0.0249,0.229]","high"
"465","WC","WC9",9.5,101.2,0.069665605,"(0.0249,0.229]","high"
"466","WC","WC9",3.8,94,0.069665605,"(0.0249,0.229]","high"
"467","WC","WC9",14.9,51.9,0.069665605,"(0.0249,0.229]","high"
"468","WC","WC9",5.9,76.1,0.069665605,"(0.0249,0.229]","high"
"469","WC","WC9",10.1,90.2,0.069665605,"(0.0249,0.229]","high"
"470","WC","WC9",11.7,79.5,0.069665605,"(0.0249,0.229]","high"
