"","grid","gridpoint","sol","new.td","density_spruce","group1","Density"
"141","ET","ET22",13.5,36.5,0.099522293,"(0.0249,0.229]","high"
"142","ET","ET22",10.5,49,0.099522293,"(0.0249,0.229]","high"
"143","ET","ET22",16,49.5,0.099522293,"(0.0249,0.229]","high"
"144","ET","ET22",16.5,41.5,0.099522293,"(0.0249,0.229]","high"
"145","ET","ET22",6.2,47.5,0.099522293,"(0.0249,0.229]","high"
"146","ET","ET22",14,42.5,0.099522293,"(0.0249,0.229]","high"
"147","ET","ET22",26.5,42,0.099522293,"(0.0249,0.229]","high"
"148","ET","ET22",4.5,87.5,0.099522293,"(0.0249,0.229]","high"
"149","ET","ET22",18,46,0.099522293,"(0.0249,0.229]","high"
"150","ET","ET22",5,58,0.099522293,"(0.0249,0.229]","high"
"151","ET","ET22",11.5,74,0.099522293,"(0.0249,0.229]","high"
"152","ET","ET22",27,49.5,0.099522293,"(0.0249,0.229]","high"
"153","ET","ET23",17,32,0.004976115,"(0,0.0249]","mid"
"154","ET","ET23",16,27.5,0.004976115,"(0,0.0249]","mid"
"155","ET","ET23",32.5,39,0.004976115,"(0,0.0249]","mid"
"156","ET","ET23",22.5,27.5,0.004976115,"(0,0.0249]","mid"
"157","ET","ET23",8,67.5,0.004976115,"(0,0.0249]","mid"
"158","ET","ET23",4.5,44,0.004976115,"(0,0.0249]","mid"
"159","ET","ET23",24,42,0.004976115,"(0,0.0249]","mid"
"160","ET","ET23",0,39,0.004976115,"(0,0.0249]","mid"
"161","ET","ET23",7.5,56,0.004976115,"(0,0.0249]","mid"
"162","ET","ET23",22,42.5,0.004976115,"(0,0.0249]","mid"
"163","ET","ET25",28.5,38,0.129378981,"(0.0249,0.229]","high"
"164","ET","ET25",19.5,33.5,0.129378981,"(0.0249,0.229]","high"
"165","ET","ET25",22,40.5,0.129378981,"(0.0249,0.229]","high"
"166","ET","ET25",22,38,0.129378981,"(0.0249,0.229]","high"
"167","ET","ET25",29,46.5,0.129378981,"(0.0249,0.229]","high"
"168","ET","ET25",34,36,0.129378981,"(0.0249,0.229]","high"
"169","ET","ET25",25.5,35.5,0.129378981,"(0.0249,0.229]","high"
"170","ET","ET25",28.5,39.5,0.129378981,"(0.0249,0.229]","high"
"171","ET","ET25",31,38.5,0.129378981,"(0.0249,0.229]","high"
"172","ET","ET3",10.4,49.5,0.004976115,"(0,0.0249]","mid"
"173","ET","ET3",19.5,34.5,0.004976115,"(0,0.0249]","mid"
"174","ET","ET3",4.5,45,0.004976115,"(0,0.0249]","mid"
"175","ET","ET3",7.5,57.5,0.004976115,"(0,0.0249]","mid"
"176","ET","ET3",17,40,0.004976115,"(0,0.0249]","mid"
"177","ET","ET3",2,60.8,0.004976115,"(0,0.0249]","mid"
"178","ET","ET3",1.5,47.5,0.004976115,"(0,0.0249]","mid"
"179","ET","ET3",3.5,43.5,0.004976115,"(0,0.0249]","mid"
"180","ET","ET3",20.5,39.5,0.004976115,"(0,0.0249]","mid"
"181","ET","ET3",7.5,37,0.004976115,"(0,0.0249]","mid"
"182","ET","ET5",22.5,36.5,0.019904459,"(0,0.0249]","mid"
